Service Request Number,Unnamed: 1,Service Request: Type Name,Work Order Number,Date/Time Opened,Date/Time Closed,Service Request Status,Service Request: Description,Department,Work Order Status,Street Block,Zip Code,Unnamed: 12
SR20-05372452,,No Heat Complaint,,11/1/2020 8:30 AM,11/4/2020 2:13 PM,Completed,So cold...   :(,DOB - Buildings,,,60637.0,
SR20-05372864,,No Heat Complaint,20-03377726,11/1/2020 10:12 AM,11/2/2020 3:24 PM,Completed,,DOB - Buildings,Closed,2700 W 59TH ST,60629.0,
SR20-05372879,,No Heat Complaint,,11/1/2020 10:16 AM,11/2/2020 3:24 PM,Completed,,DOB - Buildings,,,60629.0,
SR20-05373193,,No Heat Complaint,20-03377848,11/1/2020 11:43 AM,11/4/2020 3:47 PM,Completed,"caller is father of daughter, father live at other location",DOB - Buildings,Closed,11800 S STATE ST,60628.0,
SR20-05373376,,No Heat Complaint,,11/1/2020 12:38 PM,11/10/2020 1:30 PM,Completed,broken furnace and landlord refused,DOB - Buildings,,,60624.0,
SR20-05373394,,No Heat Complaint,,11/1/2020 12:43 PM,11/3/2020 10:45 AM,Completed,,DOB - Buildings,,,60637.0,
SR20-05373568,,No Heat Complaint,20-03378003,11/1/2020 1:30 PM,11/4/2020 2:30 PM,Completed,,DOB - Buildings,Closed,4400 N SHERIDAN RD,60640.0,
SR20-05373699,,No Heat Complaint,,11/1/2020 2:17 PM,11/3/2020 3:20 PM,Completed,,DOB - Buildings,,,60618.0,
SR20-05373760,,No Heat Complaint,20-03378077,11/1/2020 2:40 PM,11/3/2020 5:37 PM,Completed,,DOB - Buildings,Closed,2500 E 83RD ST,60617.0,
SR20-05373793,,No Heat Complaint,20-03378093,11/1/2020 2:50 PM,11/3/2020 10:09 AM,Completed,caller states that he has no radiator or vents in his apartment - no door bells,DOB - Buildings,Closed,7400 S LUELLA AVE,60649.0,
SR20-05374342,,No Heat Complaint,20-03378284,11/1/2020 5:02 PM,11/5/2020 4:00 PM,Completed,,DOB - Buildings,Closed,4400 S GREENWOOD AVE,60653.0,
SR20-05374358,,No Heat Complaint,20-03378293,11/1/2020 5:07 PM,11/10/2020 1:31 PM,Completed,,DOB - Buildings,Closed,2200 N MARMORA AVE,60639.0,
SR20-05374521,,No Heat Complaint,20-03378368,11/1/2020 5:45 PM,11/3/2020 9:46 AM,Completed,,DOB - Buildings,Closed,7800 S COLES AVE,60649.0,
SR20-05374733,,No Heat Complaint,20-03378456,11/1/2020 6:36 PM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,100 N WOOD ST,60612.0,
SR20-05374938,,No Heat Complaint,20-03378502,11/1/2020 7:20 PM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,2900 N LONG AVE,60641.0,
SR20-05375319,,No Heat Complaint,20-03378624,11/1/2020 9:07 PM,11/10/2020 1:30 PM,Completed,I've been taking photos of my indoor thermometer and the one attached is from last Wednesday (10/18) at 9:30am. I work from home so the heating during the day is important.,DOB - Buildings,Closed,4800 N HOYNE AVE,60625.0,
SR20-05375647,,No Heat Complaint,20-03378723,11/2/2020 12:24 AM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,1900 N LA CROSSE AVE,60639.0,
SR20-05375672,,No Heat Complaint,20-03378733,11/2/2020 1:10 AM,11/2/2020 3:24 PM,Completed,,DOB - Buildings,Closed,7500 S EVANS AVE,60619.0,
SR20-05375751,,No Heat Complaint,20-03378782,11/2/2020 3:03 AM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,6000 N KENMORE AVE,60660.0,
SR20-05375765,,No Heat Complaint,20-03378788,11/2/2020 3:50 AM,11/10/2020 1:30 PM,Completed,"Landlord (who lives on premisses, purposely Shut off this resident's Gas/heat (off for 5 days) 
This SR is being received from tenant via neighbor   language   interpreter:",DOB - Buildings,Closed,4500 N KILDARE AVE,60630.0,
SR20-05375963,,No Heat Complaint,20-03378903,11/2/2020 7:07 AM,11/3/2020 7:05 AM,Completed,tenant wants a call back for entry,DOB - Buildings,Closed,800 E 87TH PL,60619.0,
SR20-05376116,,No Heat Complaint,,11/2/2020 7:42 AM,11/3/2020 3:20 PM,Completed,,DOB - Buildings,,,60651.0,
SR20-05376212,,No Heat Complaint,20-03379014,11/2/2020 7:59 AM,11/2/2020 2:22 PM,Completed,,DOB - Buildings,Closed,8000 S CALUMET AVE,60619.0,
SR20-05376803,,No Heat Complaint,20-03379344,11/2/2020 9:01 AM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,Closed,0 E 49TH ST,60615.0,
SR20-05377397,,No Heat Complaint,20-03379699,11/2/2020 9:51 AM,11/10/2020 1:30 PM,Completed,NO HEAT BLOWS OUT OF FURNANCE,DOB - Buildings,Closed,4200 W WILCOX ST,60624.0,
SR20-05377850,,No Heat Complaint,20-03380011,11/2/2020 10:31 AM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,Closed,7500 S SAGINAW AVE,60649.0,
SR20-05377916,,No Heat Complaint,20-03380052,11/2/2020 10:38 AM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,0 N WALLER AVE,60644.0,
SR20-05378460,,No Heat Complaint,20-03380384,11/2/2020 11:31 AM,11/10/2020 11:07 AM,Completed,,DOB - Buildings,Closed,7400 S UNION AVE,60621.0,
SR20-05378782,,No Heat Complaint,20-03380588,11/2/2020 11:59 AM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,Closed,3000 E 93RD ST,60617.0,
SR20-05379164,,No Heat Complaint,,11/2/2020 12:32 PM,11/4/2020 2:13 PM,Completed,,DOB - Buildings,,,60637.0,
SR20-05379754,,No Heat Complaint,20-03381206,11/2/2020 1:20 PM,11/10/2020 1:49 PM,Completed,,DOB - Buildings,Closed,5400 S CALIFORNIA AVE,60632.0,
SR20-05380227,,No Heat Complaint,20-03381513,11/2/2020 2:00 PM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,Closed,7100 S EAST END AVE,60649.0,
SR20-05380819,,No Heat Complaint,20-03381866,11/2/2020 3:02 PM,11/3/2020 2:21 PM,Completed,,DOB - Buildings,Closed,1600 W 82ND ST,60620.0,
SR20-05381266,,No Heat Complaint,20-03382140,11/2/2020 3:53 PM,11/6/2020 3:07 PM,Completed,**TENANT HAS A CHILD AND NEEDS HOT WATER**HAS HAD NO WATER FOR 3 MONTHS **,DOB - Buildings,Closed,1300 S SPRINGFIELD AVE,60623.0,
SR20-05381391,,No Heat Complaint,20-03382218,11/2/2020 4:10 PM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,Closed,1800 N DAYTON ST,60614.0,
SR20-05381847,,No Heat Complaint,20-03382487,11/2/2020 5:20 PM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,Closed,7200 S SOUTH SHORE DR,60649.0,
SR20-05381951,,No Heat Complaint,20-03382540,11/2/2020 5:43 PM,11/3/2020 8:23 AM,Completed,Electricity is out which is why the heat is out,DOB - Buildings,Closed,1400 N LINDER AVE,60651.0,
SR20-05381951,,No Heat Complaint,20-03383391,11/2/2020 5:43 PM,11/3/2020 8:23 AM,Completed,Electricity is out which is why the heat is out,DOB - Buildings,Closed,1400 N LINDER AVE,60651.0,
SR20-05382343,,No Heat Complaint,20-03382741,11/2/2020 7:22 PM,11/10/2020 9:46 AM,Completed,,DOB - Buildings,Closed,6400 S HARVARD AVE,60621.0,
SR20-05382403,,No Heat Complaint,20-03382772,11/2/2020 7:43 PM,11/3/2020 1:53 PM,Completed,,DOB - Buildings,Closed,7900 S ASHLAND AVE,60620.0,
SR20-05383348,,No Heat Complaint,20-03383381,11/3/2020 5:52 AM,11/3/2020 8:20 AM,Completed,,DOB - Buildings,Closed,200 N KOLIN AVE,60624.0,
SR20-05383348,,No Heat Complaint,20-03383107,11/3/2020 5:52 AM,11/3/2020 8:20 AM,Completed,,DOB - Buildings,Closed,200 N KOLIN AVE,60624.0,
SR20-05384069,,No Heat Complaint,20-03383354,11/3/2020 8:11 AM,11/5/2020 12:12 PM,Completed,CALL BEFORE COMING OUT  SO THE CALLER CAN LET YOU IN,DOB - Buildings,Closed,10300 S HALE AVE,60643.0,
SR20-05384162,,No Heat Complaint,20-03383389,11/3/2020 8:23 AM,11/6/2020 2:06 PM,Completed,LANDLORD IS working on it with no luck in past 16hrs,DOB - Buildings,Closed,300 W NORTH AVE,60610.0,
SR20-05385168,,No Heat Complaint,20-03383823,11/3/2020 9:52 AM,11/18/2020 8:59 AM,Completed,,DOB - Buildings,Closed,4600 N LAWNDALE AVE,60625.0,
SR20-05385374,,No Heat Complaint,20-03383901,11/3/2020 10:05 AM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,4300 N PAULINA ST,60613.0,
SR20-05385707,,No Heat Complaint,20-03384071,11/3/2020 10:36 AM,11/4/2020 4:01 PM,Completed,,DOB - Buildings,Closed,6700 S ASHLAND AVE,60636.0,
SR20-05386156,,No Heat Complaint,20-03384280,11/3/2020 11:13 AM,11/4/2020 1:36 PM,Completed,,DOB - Buildings,Closed,1600 W 79TH ST,60620.0,
SR20-05386450,,No Heat Complaint,20-03384454,11/3/2020 11:40 AM,11/6/2020 2:06 PM,Completed,EMERGENCY - Please contact caller prior to coming out for entry,DOB - Buildings,Closed,4200 W 26TH ST,60623.0,
SR20-05387293,,No Heat Complaint,,11/3/2020 12:57 PM,11/10/2020 1:30 PM,Completed,,DOB - Buildings,,,60624.0,
SR20-05387588,,No Heat Complaint,20-03384947,11/3/2020 1:22 PM,11/4/2020 4:01 PM,Completed,,DOB - Buildings,Closed,5700 S ASHLAND AVE,60636.0,
SR20-05387734,,No Heat Complaint,20-03385010,11/3/2020 1:36 PM,11/5/2020 11:44 AM,Completed,,DOB - Buildings,Closed,10700 S LAFAYETTE AVE,60628.0,
SR20-05388225,,No Heat Complaint,20-03385284,11/3/2020 2:26 PM,11/4/2020 1:56 PM,Completed,,DOB - Buildings,Closed,1200 W 81ST ST,60620.0,
SR20-05388532,,No Heat Complaint,,11/3/2020 2:58 PM,11/13/2020 8:43 AM,Completed,,DOB - Buildings,,,60617.0,
SR20-05389379,,No Heat Complaint,20-03385767,11/3/2020 4:38 PM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,4000 N LAPORTE AVE,60641.0,
SR20-05389578,,No Heat Complaint,20-03385851,11/3/2020 5:20 PM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,1500 N NORTH PARK AVE,60610.0,
SR20-05389711,,No Heat Complaint,20-03385905,11/3/2020 5:48 PM,11/6/2020 2:18 PM,Completed,"The heat issue was told to owner 1 week ago but he is not fixing it, please help me. My children are freezing of cold. I have a 4 year old daughter in the house, i would appreciate if u guys can help. Thanks!",DOB - Buildings,Closed,6500 N RICHMOND ST,60645.0,
SR20-05390440,,No Heat Complaint,20-03386158,11/3/2020 9:37 PM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,600 W WAYMAN ST,60661.0,
SR20-05390741,,No Heat Complaint,20-03386234,11/4/2020 1:00 AM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,2000 N SPAULDING AVE,60647.0,
SR20-05390914,,No Heat Complaint,20-03386281,11/4/2020 5:34 AM,11/6/2020 2:06 PM,Completed,,DOB - Buildings,Closed,5600 W WEST END AVE,60644.0,
SR20-05391263,,No Heat Complaint,20-03386461,11/4/2020 7:32 AM,11/9/2020 1:42 PM,Completed,,DOB - Buildings,Closed,7600 W ADDISON ST,60634.0,
SR20-05391516,,No Heat Complaint,20-03386635,11/4/2020 8:22 AM,11/17/2020 11:15 AM,Completed,no doorbells----call before coming out so caller can meet  you at this apt.,DOB - Buildings,Closed,6200 S BISHOP ST,60636.0,
SR20-05393466,,No Heat Complaint,20-03387766,11/4/2020 11:29 AM,11/9/2020 12:53 PM,Completed,Please contact caller prior to coming out for entry- MUST KNOW WHEN INSPECTOR IS COMING OUT,DOB - Buildings,Closed,2800 W LUNT AVE,60645.0,
SR20-05395562,,No Heat Complaint,20-03388963,11/4/2020 2:58 PM,11/9/2020 6:16 AM,Completed,,DOB - Buildings,Closed,7500 S SOUTH SHORE DR,60649.0,
SR20-05395801,,No Heat Complaint,20-03389087,11/4/2020 3:25 PM,11/9/2020 6:16 AM,Completed,,DOB - Buildings,Closed,7900 S RIDGELAND AVE,60617.0,
SR20-05396903,,No Heat Complaint,20-03389856,11/4/2020 6:55 PM,11/9/2020 4:29 PM,Completed,CALLER HOME AFTER 1 PM,DOB - Buildings,Closed,800 W 33RD PL,60608.0,
SR20-05397118,,No Heat Complaint,20-03389933,11/4/2020 8:10 PM,11/9/2020 8:05 AM,Completed,HAS 2 CHILDREN /,DOB - Buildings,Closed,1800 S TRUMBULL AVE,60623.0,
SR20-05397485,,No Heat Complaint,20-03390061,11/4/2020 10:19 PM,11/9/2020 6:19 AM,Completed,,DOB - Buildings,Closed,5400 S RIDGEWOOD CT,60615.0,
SR20-05398562,,No Heat Complaint,20-03390553,11/5/2020 8:14 AM,11/6/2020 1:26 PM,Completed,landlord shut off,DOB - Buildings,Closed,7200 S CHAMPLAIN AVE,60619.0,
SR20-05398606,,No Heat Complaint,20-03390585,11/5/2020 8:22 AM,11/6/2020 1:32 PM,Completed,,DOB - Buildings,Closed,9000 S ESCANABA AVE,60617.0,
SR20-05398911,,No Heat Complaint,20-03390785,11/5/2020 8:56 AM,11/16/2020 12:11 PM,Completed,,DOB - Buildings,Closed,4100 W WASHINGTON BLVD,60624.0,
SR20-05399589,,No Heat Complaint,20-03391260,11/5/2020 10:00 AM,11/16/2020 12:11 PM,Completed,The first worker came out and never came in or wrote my landlord! I call u all to report him after he said he believe the landlord an refuses to check the unit! Can someone help us! The landlord hasn’t been citied or fix the unit! No hot water or heat,DOB - Buildings,Closed,2900 W WILCOX ST,60612.0,
SR20-05399759,,No Heat Complaint,20-03391398,11/5/2020 10:14 AM,11/13/2020 11:15 AM,Completed,"THE CALLER STATED THAT SHE HAS MICE PROBLEM, NO SMOKE DETECTOR AND CARBONIZE, SINK IS BACK UP IN THE KITCHEN SHE WASHING HER DISHES IN THE TUB.",DOB - Buildings,Closed,4400 S CAMPBELL AVE,60632.0,
SR20-05400486,,No Heat Complaint,20-03391943,11/5/2020 11:15 AM,11/6/2020 1:24 PM,Completed,Please contact caller prior to coming out for entry,DOB - Buildings,Closed,600 E 71ST ST,60619.0,
SR20-05403671,,No Heat Complaint,,11/5/2020 3:59 PM,11/9/2020 6:16 AM,Completed,,DOB - Buildings,,,60649.0,
SR20-05403977,,No Heat Complaint,20-03394006,11/5/2020 4:33 PM,11/6/2020 1:32 PM,Completed,,DOB - Buildings,Closed,8700 S COTTAGE GROVE AVE,60619.0,
SR20-05404377,,No Heat Complaint,20-03394184,11/5/2020 5:42 PM,11/10/2020 4:06 PM,Completed,,DOB - Buildings,Closed,12100 S STATE ST,60628.0,
SR20-05404514,,No Heat Complaint,,11/5/2020 6:16 PM,11/9/2020 4:29 PM,Completed,,DOB - Buildings,,,60608.0,
SR20-05404838,,No Heat Complaint,20-03394433,11/5/2020 7:37 PM,11/13/2020 9:01 AM,Completed,Per Caller- The lady in the basement has working heat because she has a furnace.,DOB - Buildings,Closed,4500 S WELLS ST,60609.0,
SR20-05406422,,No Heat Complaint,,11/6/2020 8:22 AM,11/9/2020 4:29 PM,Completed,,DOB - Buildings,,,60608.0,
SR20-05407983,,No Heat Complaint,20-03395967,11/6/2020 10:37 AM,11/17/2020 11:15 AM,Completed,,DOB - Buildings,Closed,5500 S PEORIA ST,60621.0,
SR20-05408902,,No Heat Complaint,20-03396530,11/6/2020 11:45 AM,11/13/2020 3:27 PM,Completed,,DOB - Buildings,Closed,8700 S BEVERLY AVE,60620.0,
SR20-05411254,,No Heat Complaint,20-03397860,11/6/2020 3:19 PM,11/10/2020 12:49 PM,Completed,CALLER STATES THEY SENT SOMEONE TODAY WHEN HE WASN'T THERE AND IT'S NICE OUTSIDE.,DOB - Buildings,Closed,600 E 71ST ST,60619.0,
SR20-05411370,,No Heat Complaint,20-03397922,11/6/2020 3:31 PM,11/10/2020 7:18 AM,Completed,,DOB - Buildings,Closed,7700 S COLES AVE,60649.0,
SR20-05413562,,No Heat Complaint,20-03398764,11/7/2020 8:17 AM,11/13/2020 11:24 AM,Completed,,DOB - Buildings,Closed,600 N LAKE SHORE DR,60611.0,
SR20-05415469,,No Heat Complaint,20-03399613,11/7/2020 4:40 PM,11/16/2020 12:11 PM,Completed,SPANISH SPEAKING - HEATER MAKES A LOT OF NOISE WHEN IT COMES ON,DOB - Buildings,Closed,4000 W MELROSE ST,60641.0,
SR20-05415914,,No Heat Complaint,20-03399745,11/7/2020 6:41 PM,11/16/2020 12:11 PM,Completed,,DOB - Buildings,Closed,700 N MONTICELLO AVE,60624.0,
SR20-05416897,,No Heat Complaint,20-03399967,11/8/2020 4:18 AM,11/17/2020 8:44 AM,Completed,,DOB - Buildings,Closed,6100 S DR MARTIN LUTHER KING JR DR,60637.0,
SR20-05420795,,No Heat Complaint,20-03401249,11/9/2020 2:08 AM,11/16/2020 12:11 PM,Completed,,DOB - Buildings,Closed,5200 W ALTGELD ST,60639.0,
SR20-05422210,,No Heat Complaint,20-03401991,11/9/2020 9:25 AM,11/16/2020 12:06 PM,Completed,1ST FLR,DOB - Buildings,Closed,5000 W JACKSON BLVD,60644.0,
SR20-05423126,,No Heat Complaint,20-03402633,11/9/2020 10:31 AM,11/17/2020 8:38 AM,Completed,,DOB - Buildings,Closed,7800 S JEFFERY BLVD,60649.0,
SR20-05423664,,No Heat Complaint,20-03403005,11/9/2020 11:07 AM,11/17/2020 10:11 AM,Completed,,DOB - Buildings,Closed,7000 S CALUMET AVE,60637.0,
SR20-05425696,,No Heat Complaint,20-03404503,11/9/2020 1:38 PM,11/16/2020 3:39 PM,Completed,Property Manager reporting to 311 l/l refuses to provide heat to tenants,DOB - Buildings,Closed,2700 W 59TH ST,60629.0,
SR20-05425730,,No Heat Complaint,20-03404519,11/9/2020 1:42 PM,11/16/2020 10:29 AM,Completed,Property Manager reporting to 311 l/l refuses to provide heat to tenants,DOB - Buildings,Closed,2800 W 64TH ST,60629.0,
SR20-05426683,,No Heat Complaint,,11/9/2020 3:00 PM,11/10/2020 12:49 PM,Completed,SR20-05400486 Reference to this request. The caller states the management office did not provide him with a phone call.,DOB - Buildings,,,60619.0,
SR20-05428998,,No Heat Complaint,20-03406163,11/9/2020 9:02 PM,11/13/2020 3:27 PM,Completed,,DOB - Buildings,Closed,8400 S ESCANABA AVE,60617.0,
SR20-05433043,,No Heat Complaint,20-03408780,11/10/2020 12:15 PM,12/3/2020 1:04 PM,Completed,,DOB - Buildings,Closed,2800 W HARRISON ST,60612.0,
SR20-05434048,,No Heat Complaint,20-03409494,11/10/2020 1:54 PM,11/17/2020 12:14 PM,Completed,,DOB - Buildings,Closed,1400 N SPRINGFIELD AVE,60651.0,
SR20-05434748,,No Heat Complaint,20-03409996,11/10/2020 2:57 PM,11/12/2020 11:07 AM,Completed,Caller states that building department reached out to him to come but nobody ever showed up.,DOB - Buildings,Closed,600 E 71ST ST,60619.0,
SR20-05434960,,No Heat Complaint,20-03410139,11/10/2020 3:21 PM,11/12/2020 2:06 PM,Completed,,DOB - Buildings,Closed,7900 S INDIANA AVE,60619.0,
SR20-05435980,,No Heat Complaint,20-03410751,11/10/2020 6:10 PM,11/17/2020 3:13 PM,Completed,,DOB - Buildings,Closed,2600 S TRIPP AVE,60623.0,
SR20-05436782,,No Heat Complaint,20-03411193,11/10/2020 9:32 PM,11/13/2020 1:01 PM,Completed,,DOB - Buildings,Closed,1100 N DEARBORN ST,60610.0,
SR20-05437580,,No Heat Complaint,20-03411585,11/11/2020 7:12 AM,11/12/2020 2:06 PM,Completed,call before coming out,DOB - Buildings,Closed,6200 S PARK SHORE EAST CT,60637.0,
SR20-05437707,,No Heat Complaint,20-03411668,11/11/2020 7:32 AM,11/13/2020 4:22 PM,Completed,,DOB - Buildings,Closed,1500 W GARFIELD BLVD,60609.0,
SR20-05437733,,No Heat Complaint,20-03411685,11/11/2020 7:36 AM,11/16/2020 5:56 AM,Completed,,DOB - Buildings,Closed,12000 S EMERALD AVE,60628.0,
SR20-05437886,,No Heat Complaint,20-03411773,11/11/2020 7:53 AM,11/17/2020 11:24 AM,Completed,,DOB - Buildings,Closed,800 N HAMLIN AVE,60651.0,
SR20-05438302,,No Heat Complaint,20-03412039,11/11/2020 8:48 AM,11/12/2020 11:24 AM,Completed,USING STOVE TO HEAT APARTMENT,DOB - Buildings,Closed,7400 S UNION AVE,60621.0,
SR20-05438429,,No Heat Complaint,20-03412108,11/11/2020 9:03 AM,11/12/2020 11:21 AM,Completed,,DOB - Buildings,Closed,2900 W 64TH ST,60629.0,
SR20-05439499,,No Heat Complaint,20-03412735,11/11/2020 10:53 AM,11/30/2020 10:12 AM,Completed,,DOB - Buildings,Closed,3900 W ARTHINGTON ST,60624.0,
SR20-05439518,,No Heat Complaint,20-03412749,11/11/2020 10:57 AM,12/3/2020 12:37 PM,Completed,,DOB - Buildings,Closed,4900 W HARRISON ST,60644.0,
SR20-05439521,,No Heat Complaint,20-03412751,11/11/2020 10:57 AM,11/17/2020 11:10 AM,Completed,RING BELL FOR ENTRANCE INTO BUILDING,DOB - Buildings,Closed,3700 W OHIO ST,60624.0,
SR20-05440261,,No Heat Complaint,20-03413219,11/11/2020 12:21 PM,11/18/2020 8:46 AM,Completed,,DOB - Buildings,Closed,2200 N MONTICELLO AVE,60647.0,
SR20-05441206,,No Heat Complaint,20-03413898,11/11/2020 1:47 PM,11/16/2020 5:56 AM,Completed,They have been saying they were going to bring heaters since last week &today they claimed to come and no one showed up I am giving birth tomorrow at 6am and have no extra money to pay the light bill with all heaters on,DOB - Buildings,Closed,10700 S LAFAYETTE AVE,60628.0,
SR20-05441489,,No Heat Complaint,20-03414076,11/11/2020 2:22 PM,11/12/2020 2:06 PM,Completed,,DOB - Buildings,Closed,8800 S SAGINAW AVE,60617.0,
SR20-05441517,,No Heat Complaint,20-03414098,11/11/2020 2:24 PM,11/12/2020 4:09 PM,Completed,,DOB - Buildings,Closed,1300 N CLEVELAND AVE,60610.0,
SR20-05441517,,No Heat Complaint,20-03418292,11/11/2020 2:24 PM,11/12/2020 4:09 PM,Completed,,DOB - Buildings,Closed,1300 N CLEVELAND AVE,60610.0,
SR20-05441953,,No Heat Complaint,20-03414345,11/11/2020 3:28 PM,11/17/2020 10:13 AM,Completed,,DOB - Buildings,Closed,2600 W HADDON AVE,60622.0,
SR20-05443001,,No Heat Complaint,20-03414860,11/11/2020 7:55 PM,11/12/2020 2:06 PM,Completed,,DOB - Buildings,Closed,7900 S LANGLEY AVE,60619.0,
SR20-05443018,,No Heat Complaint,20-03414869,11/11/2020 8:01 PM,11/13/2020 4:13 PM,Completed,,DOB - Buildings,Closed,11000 S ARTESIAN AVE,60655.0,
SR20-05443068,,No Heat Complaint,20-03414901,11/11/2020 8:23 PM,11/12/2020 11:22 AM,Completed,,DOB - Buildings,Closed,7400 S COLES AVE,60649.0,
SR20-05443422,,No Heat Complaint,20-03415047,11/11/2020 11:16 PM,11/12/2020 2:06 PM,Completed,,DOB - Buildings,Closed,7900 S DOBSON AVE,60619.0,
SR20-05443653,,No Heat Complaint,20-03415142,11/12/2020 3:31 AM,11/18/2020 9:07 AM,Completed,,DOB - Buildings,Closed,1500 N MONTICELLO AVE,60651.0,
SR20-05443723,,No Heat Complaint,20-03415173,11/12/2020 5:16 AM,11/30/2020 8:59 AM,Completed,"We have been dealing with this issue for a while. The heat is really low. I have a 9 year at home. I am not asking for high temperatures. All I am asking is enough heat to maintain my family warm. Were some please help me, I would greatly appreciate.",DOB - Buildings,Closed,1600 W THOME AVE,60660.0,
SR20-05443782,,No Heat Complaint,20-03415196,11/12/2020 6:20 AM,11/13/2020 8:18 AM,Completed,,DOB - Buildings,Closed,4000 N LAPORTE AVE,60641.0,
SR20-05443789,,No Heat Complaint,20-03415197,11/12/2020 6:26 AM,11/13/2020 8:18 AM,Completed,,DOB - Buildings,Closed,4000 N LAPORTE AVE,60641.0,
SR20-05444198,,No Heat Complaint,20-03415388,11/12/2020 7:57 AM,11/13/2020 4:13 PM,Completed,,DOB - Buildings,Closed,10300 S HALE AVE,60643.0,
SR20-05444523,,No Heat Complaint,20-03415568,11/12/2020 8:41 AM,11/16/2020 3:47 PM,Completed,,DOB - Buildings,Closed,1800 S CENTRAL PARK AVE,60623.0,
SR20-05444616,,No Heat Complaint,20-03415620,11/12/2020 8:52 AM,11/18/2020 9:07 AM,Completed,,DOB - Buildings,Closed,7200 S JEFFERY BLVD,60649.0,
SR20-05445054,,No Heat Complaint,20-03415862,11/12/2020 9:29 AM,11/18/2020 9:08 AM,Completed,IF WINDOW ISSUE WAS CORRECTED HEAT WOULDN'T BE AN ISSUE. I HAD TO GO OUT AN BUY A SPACE HEATER TO COMBAT COLD AIR. ALSO HAD TO STUFF BLANKETS TO COVER GAPS IN A/C !!!,DOB - Buildings,Closed,2900 S DR MARTIN LUTHER KING JR DR,60616.0,
SR20-05446295,,No Heat Complaint,20-03416563,11/12/2020 11:22 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,7200 N SHERIDAN RD,60626.0,
SR20-05446618,,No Heat Complaint,20-03416754,11/12/2020 11:55 AM,11/16/2020 3:39 PM,Completed,,DOB - Buildings,Closed,4900 W POLK ST,60644.0,
SR20-05449131,,No Heat Complaint,,11/12/2020 3:58 PM,11/17/2020 11:24 AM,Completed,,DOB - Buildings,,,60651.0,
SR20-05450977,,No Heat Complaint,20-03419123,11/12/2020 11:52 PM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,5400 S HONORE ST,60609.0,
SR20-05451003,,No Heat Complaint,20-03419136,11/13/2020 12:11 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,3000 N MONITOR AVE,60634.0,
SR20-05451132,,No Heat Complaint,20-03419208,11/13/2020 2:37 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,1200 W LELAND AVE,60640.0,
SR20-05451178,,No Heat Complaint,20-03419238,11/13/2020 4:08 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,6900 S CLYDE AVE,60649.0,
SR20-05451218,,No Heat Complaint,20-03419247,11/13/2020 5:10 AM,11/18/2020 9:08 AM,Completed,I HAVE NO HEAT!!!!!!!!!! I AM FREEZING IN MY APARTMENT EVERY NIGHT. I CAN SEE MY BREATH.,DOB - Buildings,Closed,1200 S MICHIGAN AVE,60605.0,
SR20-05451580,,No Heat Complaint,20-03419465,11/13/2020 7:35 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,1100 N KILDARE AVE,60651.0,
SR20-05451830,,No Heat Complaint,20-03419603,11/13/2020 8:36 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,Closed,4400 S DREXEL BLVD,60653.0,
SR20-05453070,,No Heat Complaint,,11/13/2020 11:00 AM,11/17/2020 11:24 AM,Completed,,DOB - Buildings,,,60651.0,
SR20-05453099,,No Heat Complaint,,11/13/2020 11:04 AM,11/18/2020 9:08 AM,Completed,,DOB - Buildings,,,60605.0,
SR20-05453170,,No Heat Complaint,20-03420462,11/13/2020 11:08 AM,11/16/2020 2:03 PM,Completed,CALL BEFORE COMING OUT,DOB - Buildings,Closed,2400 W PRATT BLVD,60645.0,
SR20-05453231,,No Heat Complaint,,11/13/2020 11:15 AM,11/18/2020 9:08 AM,Completed,ENTIRE BUILDING HAS NO HEAT,DOB - Buildings,,,60649.0,
SR20-05453296,,No Heat Complaint,20-03420537,11/13/2020 11:22 AM,11/19/2020 8:21 AM,Completed,,DOB - Buildings,Closed,5000 W CONGRESS PKWY,60644.0,
